AGS,pigs,sows,cows
5358060,2217.02205,52.52880793,56.58019012
5166032,125709.0537,725.9504084,2402.24184
5758036,97936.61873,910.4608178,672.3450297
5170044,33211.93022,406.4760687,1223.577381
5554068,651877.1083,6067.020696,4760.64973
5382072,3477.060718,13.59055636,524.4025325
5154060,190328.6482,1904.520929,1630.659556
5570048,507610.0986,1866.514987,279.6294319
5374044,1009.12707,16.8480599,1547.371221
5370032,25451.34036,362.9998393,940.2675382
5562036,85720.34922,509.2731969,328.5056107
5762036,267408.3959,2438.177052,2115.248289
5570052,990535.666,5287.529866,1228.760939
5974044,156751.3264,1966.812602,1339.02613
5370036,9213.942232,130.25421,895.9529175
5154064,113112.274,1095.762236,2477.479967
5370040,7805.695551,158.5888324,830.3846905
5366040,3287.649994,29.81556519,290.1736885
5974048,104458.6372,785.269466,1691.672363
5966028,9254.801527,92.60081287,828.9811056
5962060,443.459726,10.50707221,116.9160909
5974052,121814.6071,270.5820173,0
5378032,12687.40463,186.8257136,669.1673078
5978040,366069.979,3856.788053,239.2827574
5754052,112656.6637,892.8326833,270.6968325
5170048,25333.04378,218.7335903,2098.167401
5362040,282.2980048,2.501785416,3.926521242
5566092,72463.98646,959.1530974,1945.835768
5954032,2187.485298,22.70412702,165.4618505
5566096,384431.3947,6301.984493,289.8814117
5974056,19071.70105,144.2149285,141.5275874
5374048,1414.327106,23.30271464,591.7990751
5762040,230309.7241,2107.274453,1819.242471
5166036,46177.65857,395.3240128,1038.983102
5970044,705.1937667,10.29751385,420.4078238
5382076,1951.168568,0,1326.152397
5958048,5971.59572,69.25243806,1182.660752
5374052,0,0,4808.065497
5954036,11972.79963,185.8769976,260.0763994
5158036,46.40659301,0,199.517013
5334036,9601.666207,119.6138456,398.2062119
5124000,796.5520695,3.425329727,821.7710064
5170052,75892.6039,911.7225602,1426.208226
